driver_age,driver_gender,years_experience,vehicle_make,vehicle_model,vehicle_year,vehicle_value,annual_mileage,location,coverage_type,deductible,accidents_last_3_years,violations_last_3_years,credit_score,premium
29,male,9,Subaru,Crosstrek,2021,26000,16000,rural,comprehensive,1000,0,1,750,1920
42,female,20,Volkswagen,Arteon,2017,35000,9000,suburban,comprehensive,500,0,0,820,1650
36,male,16,Lexus,NX300,2018,38000,12000,urban,comprehensive,500,0,1,790,2080
25,female,5,Mazda,CX30,2020,25000,15000,urban,comprehensive,1000,0,2,720,2050
48,male,26,Toyota,Avalon,2016,30000,8000,suburban,comprehensive,500,0,0,830,1520
31,female,11,Honda,Odyssey,2019,35000,13000,suburban,comprehensive,1000,1,0,770,1820
44,male,22,Ford,Ranger,2018,28000,19000,rural,comprehensive,500,2,0,780,2150
33,female,13,Chevrolet,Colorado,2020,32000,17000,rural,comprehensive,500,0,1,760,1950
28,male,8,Nissan,Frontier,2021,30000,20000,rural,comprehensive,1000,1,1,740,2280
50,female,28,BMW,X3,2015,34000,6000,suburban,comprehensive,500,0,0,870,1580
39,male,18,Mercedes,GLC300,2018,42000,11000,urban,comprehensive,250,0,0,810,2250
24,female,3,Audi,Q3,2021,35000,16000,urban,comprehensive,1000,0,2,690,2450
46,male,24,Hyundai,Sonata,2017,24000,9000,suburban,comprehensive,500,0,0,820,1380
37,female,17,Kia,Forte,2019,20000,13000,urban,comprehensive,500,1,1,760,1720
26,male,6,Subaru,Impreza,2020,22000,15000,urban,comprehensive,1000,0,2,730,2080
43,female,21,Volkswagen,Tiguan,2018,29000,12000,suburban,comprehensive,500,0,0,800,1650
35,male,15,Lexus,CT200h,2019,28000,10000,urban,comprehensive,500,0,1,780,1780
22,female,2,Mazda,Mazda3,2021,21000,17000,urban,comprehensive,1000,1,2,660,2350
49,male,27,Toyota,Corolla,2016,18000,8000,suburban,liability,1000,0,0,840,1180
40,female,19,Honda,Fit,2018,16000,12000,urban,liability,1000,1,0,770,1420
